Name,Type,Total produced,Total sold,Total unsold,Damaged,Month,Year,Quarter,Edition,Price,Gender, Sales percent , Damage percent ,Estimated revenue,Unrealized revenue,Unrealized Revenue(Damaged),Total unrialized rev ,Price bucket
Nike Air Force 1 07 Sneakers,Creamy,24592,5819,9761,9012,September,2017,Q3,Limited,115,M,23.66,36.65,"$669,185","$1,122,515","$1,036,380","$2,158,895",High
Adidas Originals Samba OG Shoes,Creamy,81482,16395,26389,38698,September,2019,Q3,Standard,100,M,20.12,47.49,"$1,639,500","$2,638,900","$3,869,800","$6,508,700",Mid
Air Jordan 1 Mid Shoes,Peanut Butter,76237,8478,41697,26062,January,2023,Q1,Special Release,110,F,11.12,34.19,"$932,580","$4,586,670","$2,866,820","$7,453,490",High
Red Tape Casual Sneakers,Brownie,46463,5425,30575,10463,October,2022,Q4,Anniversary,35,M,11.68,22.52,"$189,875","$1,070,125","$366,205","$1,436,330",Low
Nike Court Vision Low Shoes,Peanut Butter,54118,11698,36342,6078,April,2019,Q2,Standard,80,F,21.62,11.23,"$935,840","$2,907,360","$486,240","$3,393,600",Mid
Puma Smash V2 Sneakers,Brownie,44671,7847,6716,30108,January,2021,Q1,Standard,65,F,17.57,67.4,"$510,055","$436,540","$1,957,020","$2,393,560",Mid
Converse Chuck Taylor All Star,Classic,82357,43427,15230,23700,June,2021,Q2,Limited,60,M,52.73,28.78,"$2,605,620","$913,800","$1,422,000","$2,335,800",Mid
New Balance 574 Core,Creamy,39871,23965,14599,1307,August,2024,Q3,Limited,90,F,60.11,3.28,"$2,156,850","$1,313,910","$117,630","$1,431,540",Mid
Reebok Classic Leather,Almond,69429,46660,10815,11954,October,2016,Q4,Holiday,85,F,67.21,17.22,"$3,966,100","$919,275","$1,016,090","$1,935,365",Mid
Under Armour Charged Assert 9,Creamy,99593,89939,8485,1169,October,2021,Q4,Limited,75,M,90.31,1.17,"$6,745,425","$636,375","$87,675","$724,050",Mid
Fila Disruptor II Premium,Peanut Butter,70589,54735,11432,4422,March,2022,Q1,Special Release,70,F,77.54,6.26,"$3,831,450","$800,240","$309,540","$1,109,780",Mid
ASICS Gel-Quantum 90,White Chocolate,17331,8752,8054,525,January,2024,Q1,Holiday,100,M,50.5,3.03,"$875,200","$805,400","$52,500","$857,900",Mid
Skechers DLites,Peanut Butter,84341,46245,24162,13934,May,2022,Q2,Anniversary,75,F,54.83,16.52,"$3,468,375","$1,812,150","$1,045,050","$2,857,200",Mid
Vans Old Skool,Peanut Butter,44718,14150,22487,8081,May,2023,Q2,Special Release,70,F,31.64,18.07,"$990,500","$1,574,090","$565,670","$2,139,760",Mid
Onitsuka Tiger Mexico 66,Brownie,62350,28723,19254,14373,July,2016,Q3,Special Release,100,M,46.07,23.05,"$2,872,300","$1,925,400","$1,437,300","$3,362,700",Mid
Lacoste Carnaby Evo,White Chocolate,24371,10008,4083,10280,October,2016,Q4,Anniversary,95,F,41.07,42.18,"$950,760","$387,885","$976,600","$1,364,485",Mid
Superga 2750 Cotu Classic,Crisper,88104,66348,4418,17338,October,2017,Q4,Special Release,65,M,75.31,19.68,"$4,312,620","$287,170","$1,126,970","$1,414,140",Mid
Hoka One One Clifton 8,Creamy,25014,22595,1327,1092,August,2023,Q3,Holiday,140,F,90.33,4.37,"$3,163,300","$185,780","$152,880","$338,660",High
Saucony Jazz Original,Peanut Butter,69470,5212,1749,62509,February,2023,Q1,Holiday,80,M,7.5,89.98,"$416,960","$139,920","$5,000,720","$5,140,640",Mid
Columbia Trailstorm Waterproof,Brownie,23947,14779,851,8317,October,2021,Q4,Limited,110,M,61.72,34.73,"$1,625,690","$93,610","$914,870","$1,008,480",High
Nike Air Force 1 07 Sneakers,Brownie,79514,5074,31953,42487,June,2020,Q2,Standard,115,F,6.38,53.43,"$583,510","$3,674,595","$4,886,005","$8,560,600",High
Adidas Originals Samba OG Shoes,White Chocolate,50306,20692,27716,1898,September,2017,Q3,Special Release,100,M,41.13,3.77,"$2,069,200","$2,771,600","$189,800","$2,961,400",Mid
Air Jordan 1 Mid Shoes,Creamy,73699,14071,9782,49846,December,2020,Q4,Limited,110,F,19.09,67.63,"$1,547,810","$1,076,020","$5,483,060","$6,559,080",High
Red Tape Casual Sneakers,Brownie,31643,13685,668,17290,October,2024,Q4,Special Release,35,M,43.25,54.64,"$478,975","$23,380","$605,150","$628,530",Low
Nike Court Vision Low Shoes,Brownie,36365,28361,5451,2553,June,2019,Q2,Holiday,80,F,77.99,7.02,"$2,268,880","$436,080","$204,240","$640,320",Mid
Puma Smash V2 Sneakers,Classic,42493,19725,20670,2098,October,2018,Q4,Standard,65,M,46.42,4.94,"$1,282,125","$1,343,550","$136,370","$1,479,920",Mid
Converse Chuck Taylor All Star,Brownie,38864,5471,28741,4652,December,2022,Q4,Standard,60,M,14.08,11.97,"$328,260","$1,724,460","$279,120","$2,003,580",Mid
New Balance 574 Core,White Chocolate,53309,9643,9971,33695,September,2017,Q3,Holiday,90,M,18.09,63.21,"$867,870","$897,390","$3,032,550","$3,929,940",Mid
Reebok Classic Leather,Brownie,27342,23711,1271,2360,April,2020,Q2,Limited,85,F,86.72,8.63,"$2,015,435","$108,035","$200,600","$308,635",Mid
Under Armour Charged Assert 9,Peanut Butter,22363,8176,3391,10796,November,2019,Q4,Holiday,75,F,36.56,48.28,"$613,200","$254,325","$809,700","$1,064,025",Mid
Fila Disruptor II Premium,White Chocolate,17100,16032,867,201,September,2015,Q3,Anniversary,70,M,93.75,1.18,"$1,122,240","$60,690","$14,070","$74,760",Mid
ASICS Gel-Quantum 90,Peanut Butter,35112,11232,6307,17573,January,2020,Q1,Limited,100,F,31.99,50.05,"$1,123,200","$630,700","$1,757,300","$2,388,000",Mid
Skechers DLites,Crisper,42742,9940,3761,29041,January,2024,Q1,Special Release,75,M,23.26,67.94,"$745,500","$282,075","$2,178,075","$2,460,150",Mid
Vans Old Skool,Classic,40982,15899,11766,13317,June,2020,Q2,Anniversary,70,F,38.8,32.49,"$1,112,930","$823,620","$932,190","$1,755,810",Mid
Onitsuka Tiger Mexico 66,Classic,31579,17418,14126,35,May,2019,Q2,Holiday,100,F,55.16,0.11,"$1,741,800","$1,412,600","$3,500","$1,416,100",Mid
Lacoste Carnaby Evo,Almond,65444,50651,2825,11968,October,2023,Q4,Special Release,95,F,77.4,18.29,"$4,811,845","$268,375","$1,136,960","$1,405,335",Mid
Superga 2750 Cotu Classic,Peanut Butter,34890,14722,13035,7133,August,2015,Q3,Special Release,65,M,42.2,20.44,"$956,930","$847,275","$463,645","$1,310,920",Mid
Hoka One One Clifton 8,Creamy,51104,8746,39072,3286,July,2021,Q3,Anniversary,140,M,17.11,6.43,"$1,224,440","$5,470,080","$460,040","$5,930,120",High
Saucony Jazz Original,Classic,76562,15500,5269,55793,January,2017,Q1,Standard,80,M,20.25,72.87,"$1,240,000","$421,520","$4,463,440","$4,884,960",Mid
