name,type,total_revenue,avg_sales_percent,avg_damaged_persent
Nike Air Force 1 07 Sneakers,Crisper,31073805,68.3,19.2
Nike Air Force 1 07 Sneakers,Peanut Butter,27440380,63.6,14.6
Lacoste Carnaby Evo,Almond,21647080,78.1,6.4
Air Jordan 1 Mid Shoes,Creamy,21625780,68.1,22.3
Columbia Trailstorm Waterproof,Peanut Butter,19777230,86,7.6
Saucony Jazz Original,Brownie,19406720,60.4,15.2
Onitsuka Tiger Mexico 66,White Chocolate,18497800,91.5,4.7
ASICS Gel-Quantum 90,White Chocolate,17649000,68.5,12.6
Air Jordan 1 Mid Shoes,Crisper,17304210,56,8.1
Hoka One One Clifton 8,Almond,16545900,60.9,18.7
